overview,tags1,tags2,tags3,tags4
"Bu destansı macera, ıssız bir adaya düşen ve zorlu çevre koşullarına uyum sağlamayı öğrenmesi gereken bir robotun -ROZZUM ünite 7134’ün, kısaca “Roz”un- yavaş yavaş adadaki hayvanlarla ilişki kurmasını ve yetim bir kaz yavrusunun evlat edinmesini konu alıyor",Animasyon, Aksiyon, Bilim-Kurgu, Aile
"Wade Wilson’ın bir paralı asker olarak geçirdiği günler ve Deadpool kimliği artık geride kalmıştır. O şimdi sivil hayatta varlık göstermek için çabalar. Wade, yeni hayatına alışmaya çalışırken, büyük bir tehlike ile karşı karşıya kalınca harekete geçmek zorunda kalır. Ancak bu tehlike ile tek başına baş etmesi zordur. Bu yüzden Wade en az kendisi kadar isteksiz olan Wolverine'i yardım etmesi için ikna etmeye çalışır",Aksiyon, Komedi, Bilim-Kurgu,
"Yüzbaşı Howard haksız yere uyuşturucuyla ilgili suçlarla itham edilir. Bu durum üzerine çılgın ikili onun adını temize çıkarmak için harekete geçer. Araştırımalarını ilerletip, gerçeğe adım adım yaklaşan Mike ve Marcus, bu sırada büyük bir iftira ile karşı karşıya kalır. Artık ikili başlarına ödül konulan kaçaklardır. Polis tarafından takip edilen ve kartellerin de hedefinde olan Mike ve Marcus, davayı çözmek için kanunların dışında ve kendi kurallarına göre çalışmak zorundadır",Aksiyon, Komedi, Suç, Macera
"Film, Dünya'da süren Otobotlarla Decepticon’lar arasındaki savaşta yeni bir Transformers türü olan Maximal'leri evrene dahil ediyor",Bilim-Kurgu, Macera, Aksiyon,
"Spider-Man: Across the Spider-Verse, radyoaktif bir örümcek tarafından ısırılmasıyla bambaşka bir dünyaya adım atıp özel yeteneklerle donanan Miles Morales'in maceralarını konu ediyor",Animasyon, Aksiyon, Macera, Bilim-Kurgu
"Geleceği korkunç bir kaderden kurtarmak için Marinette, Chronobug hâline gelir ve zamanda yolculuk eden gizemli bir rakibe karşı Bunnyx'le birlik olur. Bu yeni süper kötü kimdir ve neden Marinette'in gizli süper kahraman kimliğini açığa çıkarmaya kafayı takmıştır? Marinette'in tek umudu, Ladybug'ın ve zamanın sonunun gelmesini önlemek için bu yeni hasmını yenmektir",Animasyon, Macera, Aksiyon, Bilim-Kurgu
"Örümcek Adam'ın sinema tarihinde ilk kez, dost canlısı mahalle kahramanımız maskesizdir ve artık normal hayatıyla süper kahraman olmanın yüksek risklerini birbirinden ayıramıyordur. Doctor Strange'den yardım istediğinde, riskler daha da tehlikeli hale gelir ve onu Örümcek Adam olmanın gerçekte ne anlama geldiğini keşfetmeye zorlar",Aksiyon, Macera, Bilim-Kurgu,
"Pevensie ailesi, savaş nedeni ile güvende olmadıkları ülkelerini tahliye ettiklerinde karşılaşacakları maceradan haberdar değildiler. Dört kardeş, bir profesörün yanında yaşamaya başlarlaR. Bu sırada saklambaç oynayan en küçük kardeş Lucy, kendisini Narnia topraklarına götüren bir elbise dolabı keşfeder. Karlar altındaki Narnia tuhaf ama eşsiz yaratıklarla doludur. Beyaz Cadı Jadis tarafından da gözlenmektedir. Ailenin tüm çocukları bu dolabın içinden geçtiklerinde bambaşka bir dünya kurulur içlerinde. Hayvanların dile geldiği bu dünyanın yöneticisi Aslanı bulmaları ve Cadıyı da etkisiz hale getirmeleri gerekmektedir",Macera, Aile, Bilim-Kurgu,
"Wick'in geçmişteki düşmanlarıyla yüzleşmek zorunda kaldığı ve uluslararası bir suikastçi ağına karşı verdiği mücadeleyi konu alır. Bu kez, John Wick, özgürlüğü için savaşırken, eski dostlarının ihanetleriyle de karşılaşır. Wick, çeşitli yerlerde geçen çatışmalarda ustaca dövüş yeteneklerini sergilerken, her sahne heyecan verici bir şekilde kurgulanmıştır. John Wick 4, hem dövüş sanatları tutkunları hem de aksiyon severler için unutulmaz bir deneyim sunmayı hedefliyor",Aksiyon, Gerilim, Suç,
"İyiyle kötü arasındaki mücadelenin epik bir anlatımı olan bu filmde, dünyanın kaderini değişterecek olan bir yüzükten kurtulmak için verilen mücadele anlatılıyor. Yıllar önce üretilen ve Orta Dünya topraklarına kandan başka hiçbir şey getirmeyen yüzüklerin sonuncusu, üretiminden yüz yıllar sonra ortaya çıkar. Amcasının kendisine emanet ettiği yüzüğün nelere kadir olduğundan habersiz olan Frodo, büyücü Gandalf'ın anlattıkları sonrasında dehşete kapılır. Bu yüzükten ve savaşlardan kurtulmanın, gücünü toplamaya çalışan Sauron'u engellemenin tek yolu yüzüğü yok etmektir. Yüzüğü yok edilebileceği tek yer olan Mordor'a götürmek için kendini feda eden savaşçılardan oluşan bir ekip oluşturulur. Çok uzun ve çetin geçecek olan yolculuk başlar. Orta Dünya'nın kaderi, bu insanların ellerindedir",Macera, Bilim-Kurgu, Aksiyon,
"Kardeşler, ıslah olmuş bir suçlunun (Josh Brolin), akıl sağlığını test eden ikiz kardeşiyle (Peter Dinklage) hayatının volisini vurmak için bir yolculuğa çıktığında, düzelme girişiminin raydan çıkmasını anlatıyor. Yol boyunca kurşunlardan, kanundan ve zorba bir anneden kaçan ikiz kardeşler, birbirlerini öldürmeden önce kopan aile bağlarını iyileştirmek zorundadır",Aksiyon, Komedi, Suç,
"Eski bir ajan olan Adam Clay, değer verdiği insanların bir dolandırıcılık planına kurban gitmesi üzerine intikam almaya karar verir. Dolandırıcıların daha büyük bir amaca hizmet ettiğini öğrenen Clay, bu işin kökünü kazımadan asla durmayacaktır. Fakat dolandırıcıların bilmediği şey, Adam Clay’in eski bir “Beekeeper” ajanı olduğu ve amacına ulaşana kadar kimsenin onu durduramayacağıdır",Suç, Aksiyon, Gerilim,
"McCall gizemli geçmişini geride bırakıp, sakin ve sessiz bir yaşama doğru yelken açar. Fakat acımasız Rus mafyasının kontrolü altındaki Teri isimli genç kızla tanıştığında onun içinde bulunduğu duruma kayıtsız kalamaz. Kendi kendisini emekli etmiş olan McCall, içindeki adalet duygusunun peşinden giderek Teri'ye yardım edecektir. Çünkü adaletin temsili olarak güçsüzün yanındadır",Gerilim, Aksiyon, Suç,
"Harry Potter ve Ölüm Yadigârları: Bölüm 1, Harry, Ron ve Hermione’nin Voldemort’un ölümsüzlük sırrını barındıran Hortkuluklar’ın izini sürmek ve yoketmek görevini üstlenerek yola çıkmaları ile başlıyor. Profesörlerinin yönlendirmelerive Profesör Dumbledore’un koruması olmaksızın, tek başlarına yola çıkan üç arkadaş şimdi herzamankinden daha fazla birbirlerine güvenmek zorundadır. Ancak, onları tehdit ederek ayrı düşmelerini sağlamak isteyen Karanlık Güçler de aralarındadır.Bu arada, büyücülük dünyası Karanlık Lord’un tüm düşmanları için tehlikeli bir yer haline gelmiştir. Uzun zamandır korkulan savaş başlamış ve Voldemort’un Ölüm Yiyicileri Büyü Bakanlığı’nın kotrolünü zorla ele geçirerek terör estirmekte ve kendilerine karşı olabilecek herkesi tutukulamaktadırlar. Ama, Voldemort için en değerli olan ganimeti; Harry Potter’ı hala bulamamışlardır",Macera, Bilim-Kurgu,,
"Disney ve Pixar'ın Ters Yüz 2 filminde, ergenliğe adım atan Riley'nin zihnine döneriz. Merkez'de aniden bir tadilat başlar ve hiç hesapta olmayan yeni Duygular'a yer açılır! Uzun zamandır işleri başarıyla yürüten Neşe, Üzüntü, Öfke, Korku ve Tiksinti, Kaygı geldiğinde neler hissedeceklerini bilemez. Üstelik Kaygı yalnız değildir, beraberinde Utanç, Gıpta ve Bıkkınlık da gelmiştir",Animasyon, Macera, Komedi, Aile
"Bir kehanet, bir krallığı sonsuza dek kışa mahkum edince korkusuz ve iyimser Anna, cesur dağ adamı Kristoff ve onun sağ kolu olan ren geyiği Sven ile işbirliği yapıp kız kardeşi Kar Kraliçesi Elsa'yı bulmak ve buz büyüsünü bozmak için uzun bir yolculuğa çıkar. Her adımda gizemli yaratıklara, Olaf adında komik bir kardan adama, Everest gibi kocaman dağlara ve sihre rastlayan Anna ve Kristoff, krallığı yok olmaktan kurtarmak için büyük savaş verirler. Yolculuğun asıl zor yanı ise zamanla yarışıyor oldukları gerçeğidir",Animasyon, Aile, Macera, Bilim-Kurgu
"Şrek, oldukça korkutucu bir görünüme sahip, devasa, yeşil bir troldür. Yalnızlığın getirisiyle, hayatının geri kalanını beraber geçirebileceği, en az kendisi kadar çirkin bir yaratık bulmanın hevesindedir. Bir kahin, kehanetini açıklar. Şrek ile güzeller güzeli bir prenses olan Fiona arasında duygusal bir ilişki cereyan edecektir. Ancak Şrek ne kadar çirkinse Fiona bir o kadar güzeldir. Oldukça garip durumlar ve vaziyetler peyda olmak üzeredir",Animasyon, Komedi, Macera, Aile
"Ejderhalar Berk Adası'nı kendilerine mesken seçmişlerdir. Senelerce acımasız mahlukat tarafından yağmalanan talihsiz adanın biçare yerlileri için hayvanlarını çalıp evlerini yakan bu ejderhaları tepelemek bir nevi namus borcudur. Yetişkinlik çağına erişen genç erkeklerin yapması gereken tek şey bir ejderhayı öldürmektir. Zamanı geldiğinde köyün şefinin tuhaf oğlu Hiccup, icat ettiği tuhaf mekanizmalı silahı bir yaratığa doğrultarak onu öldürmeye yeltenir. Nadir bir türe ait olan bu ejderhayı bir türlü öldüremeyen Hiccup, hayvanı ormana götürerek serbest bırakır. Sonrasında ise aralarında sadakat ve içtenlik barındıran bir arkadaşlık gelişir",Bilim-Kurgu, Macera, Animasyon, Aile
"6 Süper Kahraman / Big Hero 6, izleyicinin Walt Disney Animasyon Stüdyoları’ndan beklediği kalbe dokunan ve mizah dolu bir hikayeye sahip olmakla birlikte aksiyonla karışık bir komedi macera filmi... Film, dehasının güçlerini kullanmayı öğrenen robot dahisi Hiro Hamada’yı, Hiro’ya bu konuda yardımcı olan muhteşem kardeşi Tadashi’yi, onlara çok benzeyen, macera bağımlısı olan arkadaşları GoGo Tamaga’yı, düzenli ve tatlı Wasabi No-Ginger’ı, kimya dehası Honey Lemon’ı ve fanatik Fred’in hikayesini anlatıyor. Süper Kahraman 6, kendini tehlikeli bir komplonun içinde bulunca en yakın arkadaşı olan Baymax isimli bir robotun yardımını istemek zorunda kalan robot dahisi Hiro Hamada’yı ve bir grup yüksek teknolojili kahramanının bu gizemi nasıl çözdüğünü anlatan aksiyonla karışık bir komedi macera filmi",Macera, Aile, Animasyon, Aksiyon
"Buzz Lightyear adlı yeni çıkan oyuncak, Andy'e hediye edilir. Oyuncağı çok seven Andy, eski gözdesi Şerif Woody'e olan ilgisini yitirir. Bir gün Buzz yanlışlıkla pencereden aşağı uçunca, herkes Woody'nin onu öldürdüğüne inanır. Woody, kendisini kurtarabilmek için Buzz'ın arkasından giderek onu geri getirmeye karar verir. Fakat ikiliyi dış dünyada büyük tehlikelerle dolu maceralar beklemektedir",Animasyon, Macera, Aile, Komedi
"Şişman fare Remy, yemeğe olan düşkünlüğü nedeniyle tek bir hayale sahiptir: Aşçı olabilmek! Bu idealini gerçekleştirmek için Paris'in yolunu tutan sevimli fare kaza eseri kendisini şehrin en iyi restoranının kanalizasyonunda bulur. Restoranın yeni çöpçüsüyle ilginç bir anlaşma yapan Remy, tüm hünerlerini sergileyebileceği büyülü mutfağa ulaşmIştır. Ancak bu tek hayalini gerçekleştirmek, farelerden iğrenen bir insanlığın var olduğu bir dünyada pek kolay olmayacaktır",Animasyon, Komedi, Aile, Bilim-Kurgu
"Film, Kolombiya dağlarının ardına gizlenmiş, Encanto adındaki harikulade ve tılsımlı bir yerde, büyülü bir evde yaşayan sıradışı Madrigal ailesinin hikayesini anlatıyor. Encanto’nun büyüsü sayesinde bu ailenin her bir çocuğu süper güçten tut iyileştirme gücüne kadar eşsiz birer armağana kavuşmuştur – Mirabel hariç. Ancak Encanto'yu çevreleyen büyünün tehlikede olduğunu keşfettiğinde ailenin tek sıradan çocuğu olan Mirabel, olağanüstü ailesinin son umudu olabileceğine karar verir",Animasyon, Komedi, Aile, Bilim-Kurgu
"Krallığın en çok aranan, en cazibeli haydutu Flynn Rider (Zachary Levi’nin sesiyle), Rapunzel (Mandy Moore’nin sesiyle) tarafından rehin alınınca, bu alışılmadık ikilinin komik macerası başlar",Animasyon, Aile,,
"Keskin bir zekaya ve sevdiklerine büyük bir bağlılığa sahip 17 yaşındaki Asha, her dileğin gerçekleşebileceği bir krallık olan Rosas'ta yaşar. Bir çaresizlik anında, yıldızlara bir dilek tutar ve buna kozmik bir güç tarafından yanıt verilir; Star adı verilen sonsuz enerjiye sahip küçük bir top. Star ve Asha birlikte en büyük düşmanla yüzleşir ve kararlı bir kişinin arzusunun yıldızların büyüsüyle birleştiğinde harikalar yaratabileceğini kanıtlar",Animasyon, Aile, Bilim-Kurgu, Macera
"Dünyaya gelir gelmez annesini kaybeden Nemo babası tarafından büyütülmektedir. Artık İlkokul çağına geldiğinde babasının ilgisinden sıkılmaya başlar. Bir süzgeci küçük olduğu için babası Okyanusta yüzmeyi Nemo'ya yasaklamıştır. Bir gün Nemo, Okyanusta yüzebileceğini ve o sırada yüzeyde duran cisme dokunabileceğini iddaa eder ve kendini bir anda bir insanın ellerinde bulur. Oğlunun insanlar tarafından yakalanıp götürüldüğünü gören babası, çok kararlıdır ne olursa olsun Nemo'yu bulacak ve eve geri gecektir. Fakat Okyanus sandığından çok daha tehlikelidir",Animasyon, Aile,,
"Efsane Beşli, sıra dışı becerilere sahip bir grup kahramandan oluşuyor. ‘Kara’ olarak bilinen kötü ruh, inançlarımızı yok etmek için işe koyulduğunda Efsane Beşli umutlarımızı korumak için ilk defa kaba kuvvete başvurmak zorunda kalır. Kara, dünyayı kuşatmak için korku yayarken, Jack Frost’un onu yenmek için Efsane Beşli ekibine katılması gerekmektedir",Animasyon, Aile, Bilim-Kurgu,
"Zootropolis, adındaki modern memelilerin yaşadığı Metropolis başka hiçbir kente benzememektedir. Burası; lüks Sahra Meydanı'ndan soğuk Tundra Kasabası'na kadar bir çok farklı doğal ortamın ve hayvanın bir potada eridiği, bir fil kadar büyük ya da bir arı kadar küçük olsanız dahi, istediğiniz her şeyi yapabileceğiniz türden bir yer. Ancak iyimser Polis Memuru Judy Hopps buraya geldiğinde büyük ve sert hayvanların olduğu bir yerde polis olmanın hiç de kolay olmadığını fark eder. Kendini ispatlama fırsatını elde edebilmek için geveze ve numaracı tilki Nick Wildeile, ortak olma pahasına önemli ve gizemli bir olayı çözmeye çalışacaktır",Animasyon, Macera, Aile, Komedi
"Buzul çağı, dünyaya hüküm sürmeye başlamıştır. Bu ıssız ve korkunç dünyada bir başlarına olan zavallı hayvanlar, bir şekilde hayatta kalmanın yollarını aramaktadırlar. Uzun tüylü, kendi halinde bir mamut; karizmatik ve dişli bir kaplan ve muzır bir rakun, nasıl olduysa bu kaos esnasında bir araya gelmişlerdir. Bu üç birbirinden farklı türe mensup hayvanın odağında ise tek bir mevzu vardır. Buldukları küçük bebeği, insanlara ulaştırıp o bebeğin hayatını kurtarmak",Animasyon, Komedi, Aile, Macera
"Moana ve Maui'yi üç yıl sonra, alışılmadık denizcilerden oluşan bir ekiple birlikte geniş kapsamlı yeni bir yolculuk için yeniden bir araya getiriyor. Yol gösterici atalarından beklenmedik bir çağrı alan Moana, daha önce karşılaşmadığı bir macera için Okyanusya'nın uzak denizlerine, tehlikeli ve uzun süredir bilinmeyen sularına yolculuk etmek zorunda",Animasyon, Macera, Aile, Komedi
"Gru ve Lucy ile kızları Margo, Edith ve Agnes'in Gru ailesinin yeni üyesi, babasına eziyet etmeye kararlı Gru Junior'ı kucaklarına almasıyla yeni bir bölüme başlıyor. Gru, yeni bir düşman olan Maxime Le Mal ve onun çekici ama tehlikeli kız arkadaşı Valentina ile karşı karşıya kalır ve ailece kaçmak zorunda kalırlar",Animasyon, Aile, Komedi, Bilim-Kurgu
"Yeminli düşmanlar olarak bilinen, ama bir zamanlar kardeş gibi birbirine bağlı dostlar olan ve Cybertron'un kaderini sonsuza dek değiştiren Optimus Prime ve Megatron'un anlatılmamış köken hikayesi",Animasyon, Bilim-Kurgu, Macera, Aile
"Aslan Kral, yavru bir aslan olan Simba’nın maceralarını konu ediyor. Ormanın kralı olan babası Mufasa'ya hayran bir yavru aslan olarak mutlu bir hayat süren Simba, sinsi amcası Scar'ın planlarından habersizdir. Kral olmak için fırsat kollayan Scar, Mufasa'yı öldürdükten sonra Simba için tehlike baş gösterir. Amcasının ihaneti ve babasının kaybı ile yıkılan Simba sürgüne gider. Zamanı geldiğinde hakkı olanı almak için geri dönecek ve amcasına yaptıklarının bedelini ödetecektir",Macera, Dram, Aile, Animasyon
"Ebeveynleri güçlü bir büyüyle dev canavarlara dönüşen genç prensesin, çok geç olmadan büyüyü bozmak için hiç bilmediği yerlere doğru bir yolculuk yapması gerekir",Animasyon, Bilim-Kurgu, Aile, Komedi
"Who köyünden ayrılarak dağın başında, kimsenin yaklaşmaya cesaret edemediği mağarasında yaşayan Grinch'e yalnızca sadık köpeği Max eşlik etmektedir. Günlük yaşamın sükunetinden memnun olan Grinch'in kabusu ise, yılbaşı kutlamalarına aşırı düşkün olan Who halkının yıl sonu başlayan coşkusudur. Bu yıl kutlamaların daha da coşkulu olacağının ilan edilmesi sonucu, Grinch bu coşkuyu yok etmek adına, Noel Baba kılığına girerek yılbaşını çalmaya karar verir. O sırada köyde yaşamakta olan küçük Cindy-Lou ise arkadaşlarıyla birlikte yılbaşında Noel Baba'yı yakalayıp, annesine yaptığı yardımlar için teşekkür etme planı yapmaktadır. İkilinin yılbaşı planları birbirlerini nasıl etkileyecektir",Animasyon, Aile, Komedi, Bilim-Kurgu
"Genç baykuş, New York'ta kayıp küçük bir kızla tanışır ve birlikte eve dönmeye çalışırlar",Animasyon, Macera, Bilim-Kurgu, Aile
"Herkesin sevgilisi, korkusuz kedi geri dönüyor. Çizmeli Kedi tehlike tutkusunun ve güvenliği ihmal etmesinin zarar verdiğini keşfediyor ve kötülüğüyle nam salmış, efsanevi Dilek Yıldızı’nı bulmak için Kara Orman’a doğru destansı bir yolculuğa çıkıyor. Ancak sadece tek bir canı kalan Çizmeli Kedi’nin boyun eğmesi, eski ortağı ve düşmanı olan çekici Yumuşak Pati Kitty’den yardım istemesi gerekecektir",Animasyon, Macera, Komedi, Aile
"Dear Santa, Liam (Robert Timothy Smith) adındaki küçük bir çocuğun Noel dileklerini yazdığı mektupta “Santa” yerine “Satan” yazması sonucu şeytanı yeryüzüne çağırmasıyla başlıyor. Jack Black’in canlandırdığı şeytan karakteri, çocuğun ruhunu almadan önce ona üç dilek hakkı tanıyor",Bilim-Kurgu, Komedi,,
"Dublör Colt Seavers, fiziksel ve zihinsel sağlığına odaklanmak için bir yıl önce işi bırakmış, ancak eski sevgilisi Jody Moreno tarafından yönetilen yüksek bütçeli bir stüdyo filminin yıldızının kaybolmasıyla tekrar göreve çağrılmıştır. Colt, Jody’yi geri kazanmak için filmin en çılgın aksiyon sahnelerini gerçekleştirir. Ancak kayıp yıldızın etrafındaki gizem derinleştikçe, Colt Seavers kendini çok daha karanlık bir suç komplosunun içinde bulur",Aksiyon, Komedi, Romantik,
"Harika bir ilk randevunun ardından Bea ve Ben'in ateşli çekiciliği buz gibi bir hal alır; ta ki kendilerini Avustralya'daki bir düğünde beklenmedik bir şekilde yeniden bir araya gelene kadar. Böylece her iki olgun yetişkinin yapacağı şeyi yaparlar: bir çiftmiş gibi davranmak. Peki birbirlerinden nefret etmelerine rağmen bu oyunu sürdürebilecekler midir",Romantik, Komedi,,
